"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
Vector3,package:vector_math/vector_math_64.dart,573,9168,9168,0,573,9168,9168,0,0,0,0,0
Matrix4,package:vector_math/vector_math_64.dart,463,7408,7408,0,342,5472,5472,0,121,1936,1936,0
PdfName,package:syncfusion_flutter_pdf/src/pdf/implementation/primitives/pdf_name.dart,116,5568,5568,0,0,0,0,0,116,5568,5568,0
PdfNumber,package:syncfusion_flutter_pdf/src/pdf/implementation/primitives/pdf_number.dart,32,1024,1024,0,0,0,0,0,32,1024,1024,0
PdfDictionary,package:syncfusion_flutter_pdf/src/pdf/implementation/primitives/pdf_dictionary.dart,12,960,960,0,0,0,0,0,12,960,960,0
PdfPageView,package:syncfusion_flutter_pdfviewer/src/control/pdf_page_view.dart,4,896,896,0,0,0,0,0,4,896,896,0
GlobalJniEnv,package:jni/src/third_party/global_env_extensions.dart,1,880,880,0,0,0,0,0,1,880,880,0
PdfArray,package:syncfusion_flutter_pdf/src/pdf/implementation/primitives/pdf_array.dart,17,816,816,0,0,0,0,0,17,816,816,0
CanvasRenderBox,package:syncfusion_flutter_pdfviewer/src/control/pdfviewer_canvas.dart,2,736,736,0,0,0,0,0,2,736,736,0
PdfStream,package:syncfusion_flutter_pdf/src/pdf/implementation/primitives/pdf_stream.dart,7,672,672,0,0,0,0,0,7,672,672,0
Permission,package:permission_handler_platform_interface/permission_handler_platform_interface.dart,35,560,560,0,0,0,0,0,35,560,560,0
PdfReferenceHolder,package:syncfusion_flutter_pdf/src/pdf/implementation/primitives/pdf_reference_holder.dart,11,528,528,0,0,0,0,0,11,528,528,0
SfPdfViewerState,package:syncfusion_flutter_pdfviewer/src/pdfviewer.dart,1,512,512,0,0,0,0,0,1,512,512,0
PdfReference,package:syncfusion_flutter_pdf/src/pdf/implementation/primitives/pdf_reference.dart,10,480,480,0,0,0,0,0,10,480,480,0
PdfTokenType,package:syncfusion_flutter_pdf/src/pdf/implementation/io/enums.dart,28,448,448,0,0,0,0,0,28,448,448,0
SfPdfViewerThemeDataM3,package:syncfusion_flutter_pdfviewer/src/theme/theme.dart,5,400,400,0,0,0,0,0,5,400,400,0
SfColorScheme,package:syncfusion_flutter_core/src/theme/color_scheme.dart,4,384,384,0,0,0,0,0,4,384,384,0
PdfPageViewState,package:syncfusion_flutter_pdfviewer/src/control/pdf_page_view.dart,2,320,320,0,0,0,0,0,2,320,320,0
ObjectInformation,package:syncfusion_flutter_pdf/src/pdf/implementation/io/cross_table.dart,9,288,288,0,0,0,0,0,9,288,288,0
PdfViewerCanvas,package:syncfusion_flutter_pdfviewer/src/control/pdfviewer_canvas.dart,2,288,288,0,0,0,0,0,2,288,288,0
PdfName,package:pdf/src/pdf/format/name.dart,17,272,272,0,0,0,0,0,17,272,272,0
SfPdfViewerThemeData,package:syncfusion_flutter_core/src/theme/pdfviewer_theme.dart,5,240,240,0,0,0,0,0,5,240,240,0
_JFinalizable,package:jni/src/jreference.dart,5,208,80,128,0,0,0,0,5,208,80,128
PdfToken,package:syncfusion_flutter_pdf/src/pdf/implementation/exporting/pdf_text_extractor/parser/content_lexer.dart,13,208,208,0,0,0,0,0,13,208,208,0
MatrixHelper,package:syncfusion_flutter_pdf/src/pdf/implementation/exporting/pdf_text_extractor/matrix_helper.dart,4,192,192,0,0,0,0,0,4,192,192,0
JniBindings,package:jni/src/third_party/jni_bindings_generated.dart,1,192,192,0,0,0,0,0,1,192,192,0
PdfObjectInfo,package:syncfusion_flutter_pdf/src/pdf/implementation/io/object_info.dart,6,192,192,0,0,0,0,0,6,192,192,0
Format,package:image/src/color/format.dart,12,192,192,0,0,0,0,0,12,192,192,0
PdfCrossTable,package:syncfusion_flutter_pdf/src/pdf/implementation/io/pdf_cross_table.dart,2,192,192,0,0,0,0,0,2,192,192,0
PdfTextMarkupAnnotationSettings,package:syncfusion_flutter_pdfviewer/src/annotation/annotation_settings.dart,4,192,192,0,0,0,0,0,4,192,192,0
SfPdfViewer,package:syncfusion_flutter_pdfviewer/src/pdfviewer.dart,1,192,192,0,0,0,0,0,1,192,192,0
PdfViewerController,package:syncfusion_flutter_pdfviewer/src/pdfviewer.dart,1,176,176,0,0,0,0,0,1,176,176,0
AndroidCameraCameraX,package:camera_android_camerax/src/android_camera_camerax.dart,1,176,176,0,0,0,0,0,1,176,176,0
PdfResources,package:syncfusion_flutter_pdf/src/pdf/implementation/graphics/pdf_resources.dart,2,160,160,0,0,0,0,0,2,160,160,0
PdfPageHelper,package:syncfusion_flutter_pdf/src/pdf/implementation/pages/pdf_page.dart,2,160,160,0,0,0,0,0,2,160,160,0
PdfString,package:syncfusion_flutter_pdf/src/pdf/implementation/primitives/pdf_string.dart,2,160,160,0,0,0,0,0,2,160,160,0
EditorState,package:docly/features/pdf_editor/models/editor_state.dart,2,160,160,0,1,80,80,0,1,80,80,0
AnnotationContainer,package:syncfusion_flutter_pdfviewer/src/annotation/annotation_container.dart,2,160,160,0,0,0,0,0,2,160,160,0
ScrollHeadOverlay,package:syncfusion_flutter_pdfviewer/src/control/scroll_head_overlay.dart,1,144,144,0,0,0,0,0,1,144,144,0
PdfScrollable,package:syncfusion_flutter_pdfviewer/src/control/pdf_scrollable.dart,1,144,144,0,0,0,0,0,1,144,144,0
PdfVersion,package:syncfusion_flutter_pdf/src/pdf/implementation/pdf_document/enums.dart,9,144,144,0,0,0,0,0,9,144,144,0
PdfImageOrientation,package:pdf/src/pdf/obj/image.dart,8,128,128,0,0,0,0,0,8,128,128,0
JGlobalReference,package:jni/src/jreference.dart,4,128,128,0,0,0,0,0,4,128,128,0
PdfLexer,package:syncfusion_flutter_pdf/src/pdf/implementation/io/pdf_lexer.dart,1,128,128,0,0,0,0,0,1,128,128,0
EditorFilterType,package:docly/features/editor/services/image_edit_service.dart,8,128,128,0,0,0,0,0,8,128,128,0
TextSelectionHelper,package:syncfusion_flutter_pdfviewer/src/common/pdfviewer_helper.dart,1,128,128,0,0,0,0,0,1,128,128,0
ScrollHeadOverlayState,package:syncfusion_flutter_pdfviewer/src/control/scroll_head_overlay.dart,1,112,112,0,0,0,0,0,1,112,112,0
PdfTextExtractor,package:syncfusion_flutter_pdf/src/pdf/implementation/exporting/pdf_text_extractor/pdf_text_extractor.dart,1,112,112,0,0,0,0,0,1,112,112,0
BoxFit,package:pdf/src/widgets/basic.dart,7,112,112,0,0,0,0,0,7,112,112,0
PdfDocumentHelper,package:syncfusion_flutter_pdf/src/pdf/implementation/pdf_document/pdf_document.dart,1,112,112,0,0,0,0,0,1,112,112,0
PdfScrollableState,package:syncfusion_flutter_pdfviewer/src/control/pdf_scrollable.dart,1,112,112,0,0,0,0,0,1,112,112,0
CrossTable,package:syncfusion_flutter_pdf/src/pdf/implementation/io/cross_table.dart,1,96,96,0,0,0,0,0,1,96,96,0
PdfPage,package:syncfusion_flutter_pdf/src/pdf/implementation/pages/pdf_page.dart,2,96,96,0,0,0,0,0,2,96,96,0
ScrollHead,package:syncfusion_flutter_pdfviewer/src/control/scroll_head.dart,2,96,96,0,0,0,0,0,2,96,96,0
BookmarkViewControllerState,package:syncfusion_flutter_pdfviewer/src/bookmark/bookmark_view.dart,1,96,96,0,0,0,0,0,1,96,96,0
ToolType,package:docly/features/pdf_editor/models/tool_type.dart,6,96,96,0,0,0,0,0,6,96,96,0
PermissionStatus,package:permission_handler_platform_interface/permission_handler_platform_interface.dart,6,96,96,0,0,0,0,0,6,96,96,0
PdfPageLayerCollectionHelper,package:syncfusion_flutter_pdf/src/pdf/implementation/pages/pdf_page_layer_collection.dart,2,96,96,0,0,0,0,0,2,96,96,0
PdfAnnotationCollectionHelper,package:syncfusion_flutter_pdf/src/pdf/implementation/annotations/pdf_annotation_collection.dart,2,96,96,0,0,0,0,0,2,96,96,0
PdfCatalog,package:syncfusion_flutter_pdf/src/pdf/implementation/pdf_document/pdf_catalog.dart,1,96,96,0,0,0,0,0,1,96,96,0
